Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,0,178,3,Some Random Commen with Id 0
1,0,0,60,3,Some Random Commen with Id 1
2,0,0,124,2,Some Random Commen with Id 2
3,0,0,169,5,Some Random Commen with Id 3
4,0,0,41,9,Some Random Commen with Id 4
5,0,0,99,2,Some Random Commen with Id 5
6,2,3,30,5,Some Random Commen with Id 6
7,2,3,54,9,Some Random Commen with Id 7
8,2,3,178,0,Some Random Commen with Id 8
9,3,3,119,5,Some Random Commen with Id 9
10,3,3,113,6,Some Random Commen with Id 10
11,3,3,92,0,Some Random Commen with Id 11
12,3,3,52,4,Some Random Commen with Id 12
13,3,3,170,9,Some Random Commen with Id 13
14,3,3,171,0,Some Random Commen with Id 14
15,3,3,23,1,Some Random Commen with Id 15
16,5,3,97,6,Some Random Commen with Id 16
17,5,3,12,6,Some Random Commen with Id 17
18,6,3,119,7,Some Random Commen with Id 18
19,6,3,78,0,Some Random Commen with Id 19
20,6,3,97,6,Some Random Commen with Id 20
21,7,7,129,4,Some Random Commen with Id 21
22,7,7,158,8,Some Random Commen with Id 22
23,7,7,59,1,Some Random Commen with Id 23
24,9,6,166,3,Some Random Commen with Id 24
25,9,6,66,2,Some Random Commen with Id 25
26,10,4,47,2,Some Random Commen with Id 26
27,10,4,70,6,Some Random Commen with Id 27
28,10,4,56,3,Some Random Commen with Id 28
29,10,4,151,7,Some Random Commen with Id 29
30,10,4,86,8,Some Random Commen with Id 30
31,11,2,122,8,Some Random Commen with Id 31
32,12,7,10,4,Some Random Commen with Id 32
33,12,7,27,5,Some Random Commen with Id 33
34,12,7,173,4,Some Random Commen with Id 34
35,12,7,142,1,Some Random Commen with Id 35
36,12,7,138,1,Some Random Commen with Id 36
37,12,7,43,5,Some Random Commen with Id 37
38,13,5,67,4,Some Random Commen with Id 38
39,13,5,117,6,Some Random Commen with Id 39
40,13,5,92,5,Some Random Commen with Id 40
41,13,5,185,4,Some Random Commen with Id 41
42,13,5,190,9,Some Random Commen with Id 42
43,15,1,73,5,Some Random Commen with Id 43
44,15,1,34,8,Some Random Commen with Id 44
45,15,1,191,3,Some Random Commen with Id 45
46,15,1,164,2,Some Random Commen with Id 46
47,15,1,198,2,Some Random Commen with Id 47
48,15,1,179,0,Some Random Commen with Id 48
49,16,5,12,5,Some Random Commen with Id 49
50,16,5,89,2,Some Random Commen with Id 50
51,16,5,169,0,Some Random Commen with Id 51
52,16,5,104,4,Some Random Commen with Id 52
53,16,5,65,3,Some Random Commen with Id 53
54,16,5,140,5,Some Random Commen with Id 54
55,16,5,195,1,Some Random Commen with Id 55
56,16,5,126,5,Some Random Commen with Id 56
57,16,5,18,0,Some Random Commen with Id 57
58,17,6,52,1,Some Random Commen with Id 58
59,17,6,57,4,Some Random Commen with Id 59
60,17,6,29,9,Some Random Commen with Id 60
61,17,6,171,8,Some Random Commen with Id 61
62,17,6,1,0,Some Random Commen with Id 62
63,17,6,104,6,Some Random Commen with Id 63
64,17,6,95,3,Some Random Commen with Id 64
65,18,5,105,6,Some Random Commen with Id 65
66,18,5,180,7,Some Random Commen with Id 66
67,18,5,95,5,Some Random Commen with Id 67
68,18,5,67,3,Some Random Commen with Id 68
69,18,5,27,8,Some Random Commen with Id 69
70,18,5,143,4,Some Random Commen with Id 70
